Typ;Flurkarten;LU_x;LU_y;LO_x;LO_y;RO_x;RO_y;RU_x;RU_y
Badische Flurkarten;9.151;539021.9555;5507106.036;539029.0521;5508105.568;540028.7475;5508098.351;540021.5945;5507098.831
Badische Flurkarten;9.152;540021.5945;5507098.831;540028.7475;5508098.351;541028.3363;5508091.17;541021.2146;5507091.645
Badische Flurkarten;9.153;541021.2146;5507091.645;541028.3363;5508091.17;542027.9883;5508083.94;542020.7637;5507084.403
Badische Flurkarten;9.154;542020.7637;5507084.403;542027.9883;5508083.94;543027.562;5508076.706;543020.3424;5507077.227
Badische Flurkarten;9.155;543020.3424;5507077.227;543027.562;5508076.706;544027.0743;5508069.494;544019.8439;5507069.922
Badische Flurkarten;9.156;544019.8439;5507069.922;544027.0743;5508069.494;545026.5336;5508062.253;545019.3839;5507062.813
Badische Flurkarten;9.157;545019.3839;5507062.813;545026.5336;5508062.253;546025.9671;5508055.046;546018.8902;5507055.684
Badische Flurkarten;9.158;546018.8902;5507055.684;546025.9671;5508055.046;547025.6058;5508047.993;547018.4911;5507048.497
Badische Flurkarten;9.159;547018.4911;5507048.497;547025.6058;5508047.993;548025.3129;5508040.629;548018.1936;5507041.184
Badische Flurkarten;9.160;548018.1936;5507041.184;548025.3129;5508040.629;549024.9528;5508033.486;549017.903;5507034.004
Badische Flurkarten;9.161;549017.903;5507034.004;549024.9528;5508033.486;550024.5276;5508026.403;550017.458;5507026.898
Badische Flurkarten;9.162;550017.458;5507026.898;550024.5276;5508026.403;551024.0706;5508019.328;551016.9529;5507019.681
Badische Flurkarten;9.163;551016.9529;5507019.681;551024.0706;5508019.328;552023.6508;5508012.091;552016.5446;5507012.451
Badische Flurkarten;9.166;554015.6754;5506998.265;554022.889;5507997.843;555022.4497;5507990.66;555015.2106;5506991.082
Badische Flurkarten;9.167;555015.2106;5506991.082;555022.4497;5507990.66;556022.0049;5507983.443;556014.7972;5506983.905
Badische Flurkarten;9.168;556014.7972;5506983.905;556022.0049;5507983.443;557021.5686;5507976.254;557014.4025;5506976.675
Badische Flurkarten;9.169;557014.4025;5506976.675;557021.5686;5507976.254;558021.1943;5507969.017;558014.001;5506969.479
Badische Flurkarten;9.170;558014.001;5506969.479;558021.1943;5507969.017;559020.8342;5507961.762;559013.6251;5506962.215
Badische Flurkarten;10.137;525021.0184;5506207.519;525028.39;5507206.976;526027.6904;5507199.764;526020.4928;5506200.349
Badische Flurkarten;10.138;526020.4928;5506200.349;526027.6904;5507199.764;527027.2442;5507192.562;527019.9768;5506193.079
Badische Flurkarten;10.139;527019.9768;5506193.079;527027.2442;5507192.562;528026.8678;5507185.464;528019.5363;5506185.876
Badische Flurkarten;10.140;528019.5363;5506185.876;528026.8678;5507185.464;529026.4541;5507178.28;529019.1048;5506178.699
Badische Flurkarten;10.141;529019.1048;5506178.699;529026.4541;5507178.28;530025.8367;5507170.989;530018.7045;5506171.462
Badische Flurkarten;10.142;530018.7045;5506171.462;530025.8367;5507170.989;531025.3741;5507163.778;531018.1939;5506164.328
Badische Flurkarten;10.143;531018.1939;5506164.328;531025.3741;5507163.778;532024.9428;5507156.601;532017.7427;5506157.109
